emotions,genders,audio_intensity,audio_path,duration,dataset
neutral,female,normal,./data/augmented_audio\neutral_69.wav,1.8376417233560092,tess
happy,male,normal,./data/augmented_audio\happy_70.wav,2.6026303854875286,crema
happy,female,normal,./data/augmented_audio\happy_71.wav,1.8941043083900226,tess
disgust,female,normal,./data/augmented_audio\disgust_72.wav,2.7491609977324263,tess
disgust,female,normal,./data/augmented_audio\disgust_73.wav,2.354331065759637,tess
angry,male,normal,./data/augmented_audio\angry_74.wav,3.0030385487528344,crema
sad,female,normal,./data/augmented_audio\sad_75.wav,2.269387755102041,tess
disgust,female,normal,./data/augmented_audio\disgust_76.wav,2.506031746031746,tess
angry,female,normal,./data/augmented_audio\angry_77.wav,2.635963718820862,crema
disgust,male,normal,./data/augmented_audio\disgust_78.wav,5.634149659863946,savee
happy,female,normal,./data/augmented_audio\happy_79.wav,2.0294784580498866,tess
sad,male,normal,./data/augmented_audio\sad_80.wav,2.6026303854875286,crema
happy,female,normal,./data/augmented_audio\happy_81.wav,2.3023129251700682,crema
fear,female,normal,./data/augmented_audio\fear_82.wav,2.43578231292517,crema
fear,female,normal,./data/augmented_audio\fear_83.wav,2.1021315192743764,crema
sad,male,normal,./data/augmented_audio\sad_84.wav,2.569251700680272,crema
angry,female,normal,./data/augmented_audio\angry_85.wav,1.7383673469387755,tess
fear,female,normal,./data/augmented_audio\fear_86.wav,1.514965986394558,tess
sad,male,low,./data/augmented_audio\sad_87.wav,2.6026303854875286,crema
sad,female,normal,./data/augmented_audio\sad_88.wav,2.4239002267573695,tess
neutral,male,normal,./data/augmented_audio\neutral_89.wav,1.901904761904762,crema
angry,female,normal,./data/augmented_audio\angry_90.wav,2.2689795918367346,crema
surprised,female,normal,./data/augmented_audio\surprised_91.wav,1.9808616780045352,tess
sad,female,normal,./data/augmented_audio\sad_92.wav,3.6369614512471657,crema
surprised,female,high,./data/augmented_audio\surprised_93.wav,3.3700680272108845,ravdess
happy,male,normal,./data/augmented_audio\happy_94.wav,2.702721088435374,crema
fear,female,normal,./data/augmented_audio\fear_95.wav,1.7299773242630385,tess
fear,male,normal,./data/augmented_audio\fear_96.wav,3.436780045351474,ravdess
fear,female,normal,./data/augmented_audio\fear_97.wav,1.665578231292517,tess
neutral,female,normal,./data/augmented_audio\neutral_98.wav,2.06875283446712,crema
fear,male,normal,./data/augmented_audio\fear_99.wav,2.0020408163265304,crema
neutral,female,normal,./data/augmented_audio\neutral_100.wav,2.669342403628118,crema
fear,male,normal,./data/augmented_audio\fear_101.wav,1.9686621315192743,crema
neutral,male,normal,./data/augmented_audio\neutral_102.wav,3.9039455782312924,ravdess
angry,female,normal,./data/augmented_audio\angry_103.wav,2.271746031746032,tess
happy,female,normal,./data/augmented_audio\happy_104.wav,1.8253061224489795,tess
fear,female,high,./data/augmented_audio\fear_105.wav,1.9352834467120181,crema
happy,male,normal,./data/augmented_audio\happy_106.wav,2.2689795918367346,crema
neutral,female,normal,./data/augmented_audio\neutral_107.wav,1.937233560090703,tess
happy,female,normal,./data/augmented_audio\happy_108.wav,1.8639909297052155,tess
fear,male,normal,./data/augmented_audio\fear_109.wav,2.2356009070294784,crema
happy,female,normal,./data/augmented_audio\happy_110.wav,1.756235827664399,tess
happy,male,normal,./data/augmented_audio\happy_111.wav,3.482222222222222,savee
fear,female,normal,./data/augmented_audio\fear_112.wav,1.423764172335601,tess
happy,male,normal,./data/augmented_audio\happy_113.wav,2.43578231292517,crema
sad,male,normal,./data/augmented_audio\sad_114.wav,2.4691609977324265,crema
happy,female,normal,./data/augmented_audio\happy_115.wav,3.2032199546485263,crema
happy,female,normal,./data/augmented_audio\happy_116.wav,1.9988662131519275,tess
happy,male,high,./data/augmented_audio\happy_117.wav,2.3690249433106576,crema
surprised,female,normal,./data/augmented_audio\surprised_118.wav,1.8731065759637189,tess
angry,male,normal,./data/augmented_audio\angry_119.wav,2.035419501133787,crema
sad,female,normal,./data/augmented_audio\sad_120.wav,2.42875283446712,tess
fear,male,normal,./data/augmented_audio\fear_121.wav,2.836190476190476,crema
neutral,female,normal,./data/augmented_audio\neutral_122.wav,2.035419501133787,crema
neutral,female,normal,./data/augmented_audio\neutral_123.wav,2.1857142857142855,tess
angry,male,normal,./data/augmented_audio\angry_124.wav,1.7017233560090703,crema
happy,male,normal,./data/augmented_audio\happy_125.wav,2.635963718820862,crema
angry,female,high,./data/augmented_audio\angry_126.wav,1.801814058956916,crema
neutral,female,normal,./data/augmented_audio\neutral_127.wav,2.5025396825396826,crema
angry,female,high,./data/augmented_audio\angry_128.wav,3.1364625850340135,crema
disgust,male,normal,./data/augmented_audio\disgust_129.wav,3.0030385487528344,crema
disgust,male,normal,./data/augmented_audio\disgust_130.wav,3.2699773242630386,crema
happy,male,normal,./data/augmented_audio\happy_131.wav,2.73609977324263,crema
happy,female,normal,./data/augmented_audio\happy_132.wav,2.125759637188209,tess
disgust,female,normal,./data/augmented_audio\disgust_133.wav,3.1698412698412697,crema
disgust,female,normal,./data/augmented_audio\disgust_134.wav,2.349433106575964,tess
disgust,male,normal,./data/augmented_audio\disgust_135.wav,2.43578231292517,crema
fear,male,high,./data/augmented_audio\fear_136.wav,2.168843537414966,crema
angry,male,normal,./data/augmented_audio\angry_137.wav,3.2032199546485263,crema
sad,male,low,./data/augmented_audio\sad_138.wav,2.0020408163265304,crema
neutral,male,high,./data/augmented_audio\neutral_139.wav,3.5369160997732427,ravdess
neutral,male,normal,./data/augmented_audio\neutral_140.wav,2.6026303854875286,crema
sad,male,normal,./data/augmented_audio\sad_141.wav,2.3356916099773244,crema
sad,female,normal,./data/augmented_audio\sad_142.wav,2.2689795918367346,crema
sad,female,normal,./data/augmented_audio\sad_143.wav,2.43578231292517,crema
angry,female,normal,./data/augmented_audio\angry_144.wav,1.6011337868480726,tess
neutral,female,normal,./data/augmented_audio\neutral_145.wav,2.085124716553288,tess
fear,female,normal,./data/augmented_audio\fear_146.wav,3.47015873015873,ravdess
surprised,male,high,./data/augmented_audio\surprised_147.wav,3.4034013605442177,ravdess
happy,male,normal,./data/augmented_audio\happy_148.wav,2.669342403628118,crema
disgust,male,normal,./data/augmented_audio\disgust_149.wav,3.0364172335600905,crema
disgust,male,normal,./data/augmented_audio\disgust_150.wav,2.8695238095238094,crema
happy,female,normal,./data/augmented_audio\happy_151.wav,2.73609977324263,crema
happy,male,normal,./data/augmented_audio\happy_152.wav,2.802857142857143,crema
sad,female,normal,./data/augmented_audio\sad_153.wav,3.1698412698412697,crema
sad,female,normal,./data/augmented_audio\sad_154.wav,2.746938775510204,tess
happy,female,normal,./data/augmented_audio\happy_155.wav,1.801814058956916,crema
neutral,male,normal,./data/augmented_audio\neutral_156.wav,3.4034013605442177,crema
sad,female,normal,./data/augmented_audio\sad_157.wav,2.524308390022676,tess
angry,male,normal,./data/augmented_audio\angry_158.wav,4.070748299319728,ravdess
happy,male,normal,./data/augmented_audio\happy_159.wav,1.6349659863945578,crema
sad,male,normal,./data/augmented_audio\sad_160.wav,2.702721088435374,crema
happy,male,normal,./data/augmented_audio\happy_161.wav,5.974829931972789,savee
happy,male,normal,./data/augmented_audio\happy_162.wav,3.0030385487528344,crema
neutral,male,normal,./data/augmented_audio\neutral_163.wav,1.668344671201814,crema
disgust,male,low,./data/augmented_audio\disgust_164.wav,2.282721088435374,crema
happy,female,normal,./data/augmented_audio\happy_165.wav,1.7905668934240362,tess
surprised,male,normal,./data/augmented_audio\surprised_166.wav,5.856326530612245,savee
angry,male,normal,./data/augmented_audio\angry_167.wav,2.4024036281179137,crema
sad,male,normal,./data/augmented_audio\sad_168.wav,2.1354648526077096,crema
angry,male,normal,./data/augmented_audio\angry_169.wav,2.43578231292517,crema
angry,male,normal,./data/augmented_audio\angry_170.wav,2.4737868480725624,savee
neutral,female,normal,./data/augmented_audio\neutral_171.wav,3.436780045351474,ravdess
disgust,male,normal,./data/augmented_audio\disgust_172.wav,3.9203174603174604,savee
sad,male,normal,./data/augmented_audio\sad_173.wav,2.4691609977324265,crema
disgust,male,normal,./data/augmented_audio\disgust_174.wav,3.5035374149659866,crema
disgust,female,normal,./data/augmented_audio\disgust_175.wav,2.220453514739229,tess
sad,female,normal,./data/augmented_audio\sad_176.wav,3.3700680272108845,ravdess
neutral,female,normal,./data/augmented_audio\neutral_177.wav,1.9495691609977324,tess
disgust,female,normal,./data/augmented_audio\disgust_178.wav,2.4997732426303854,tess
fear,male,normal,./data/augmented_audio\fear_179.wav,2.2022222222222223,crema
happy,male,high,./data/augmented_audio\happy_180.wav,3.570249433106576,ravdess
fear,male,normal,./data/augmented_audio\fear_181.wav,3.670340136054422,ravdess
surprised,male,normal,./data/augmented_audio\surprised_182.wav,3.336689342403628,ravdess
angry,female,normal,./data/augmented_audio\angry_183.wav,3.4034013605442177,crema
happy,male,normal,./data/augmented_audio\happy_184.wav,2.3023129251700682,crema
sad,female,normal,./data/augmented_audio\sad_185.wav,3.5369160997732427,ravdess
fear,female,normal,./data/augmented_audio\fear_186.wav,2.669342403628118,crema
angry,male,normal,./data/augmented_audio\angry_187.wav,2.702721088435374,crema
fear,male,normal,./data/augmented_audio\fear_188.wav,2.3690249433106576,crema
neutral,female,normal,./data/augmented_audio\neutral_189.wav,1.944263038548753,tess
surprised,male,normal,./data/augmented_audio\surprised_190.wav,3.670340136054422,ravdess
angry,female,normal,./data/augmented_audio\angry_191.wav,2.06875283446712,crema
fear,male,normal,./data/augmented_audio\fear_192.wav,2.702721088435374,crema
happy,female,normal,./data/augmented_audio\happy_193.wav,1.9774603174603174,tess
fear,male,normal,./data/augmented_audio\fear_194.wav,1.9352834467120181,crema
fear,male,normal,./data/augmented_audio\fear_195.wav,3.1365079365079365,ravdess
sad,male,normal,./data/augmented_audio\sad_196.wav,3.1698412698412697,crema
sad,male,low,./data/augmented_audio\sad_197.wav,1.7351020408163265,crema
sad,female,normal,./data/augmented_audio\sad_198.wav,2.405578231292517,tess
neutral,female,normal,./data/augmented_audio\neutral_199.wav,4.037369614512472,ravdess
disgust,female,low,./data/augmented_audio\disgust_200.wav,2.3023129251700682,crema
neutral,female,high,./data/augmented_audio\neutral_201.wav,4.104126984126984,ravdess
disgust,female,normal,./data/augmented_audio\disgust_202.wav,3.47015873015873,crema
disgust,male,normal,./data/augmented_audio\disgust_203.wav,2.936281179138322,crema
happy,female,normal,./data/augmented_audio\happy_204.wav,2.0951927437641724,tess
happy,female,normal,./data/augmented_audio\happy_205.wav,2.0372789115646257,tess
disgust,male,normal,./data/augmented_audio\disgust_206.wav,2.5359183673469388,crema
neutral,female,normal,./data/augmented_audio\neutral_207.wav,2.6026303854875286,crema
neutral,male,normal,./data/augmented_audio\neutral_208.wav,2.769478458049887,crema
angry,female,normal,./data/augmented_audio\angry_209.wav,3.1031292517006803,crema
neutral,male,normal,./data/augmented_audio\neutral_210.wav,2.769478458049887,crema
angry,female,low,./data/augmented_audio\angry_211.wav,1.8685714285714285,crema
happy,male,normal,./data/augmented_audio\happy_212.wav,2.3690249433106576,crema
neutral,male,normal,./data/augmented_audio\neutral_213.wav,2.836190476190476,crema
sad,male,normal,./data/augmented_audio\sad_214.wav,2.8695691609977323,crema
sad,female,normal,./data/augmented_audio\sad_215.wav,3.4034013605442177,crema
angry,male,normal,./data/augmented_audio\angry_216.wav,2.73609977324263,crema
disgust,male,normal,./data/augmented_audio\disgust_217.wav,3.703718820861678,crema
sad,male,normal,./data/augmented_audio\sad_218.wav,2.43578231292517,crema
angry,female,high,./data/augmented_audio\angry_219.wav,3.53687074829932,ravdess
angry,female,normal,./data/augmented_audio\angry_220.wav,4.3710657596371885,crema
angry,male,normal,./data/augmented_audio\angry_221.wav,2.2689795918367346,crema
disgust,male,high,./data/augmented_audio\disgust_222.wav,4.471156462585034,ravdess
fear,male,normal,./data/augmented_audio\fear_223.wav,2.43578231292517,crema
sad,female,normal,./data/augmented_audio\sad_224.wav,2.4024036281179137,crema
disgust,female,normal,./data/augmented_audio\disgust_225.wav,2.487891156462585,tess
fear,female,normal,./data/augmented_audio\fear_226.wav,2.0020408163265304,crema
fear,female,normal,./data/augmented_audio\fear_227.wav,1.7889795918367346,tess
disgust,female,normal,./data/augmented_audio\disgust_228.wav,2.2756009070294785,crema
happy,female,high,./data/augmented_audio\happy_229.wav,3.8705668934240363,ravdess
happy,female,normal,./data/augmented_audio\happy_230.wav,3.737097505668934,ravdess
fear,male,normal,./data/augmented_audio\fear_231.wav,2.635963718820862,crema
neutral,female,normal,./data/augmented_audio\neutral_232.wav,2.3356916099773244,crema
disgust,female,normal,./data/augmented_audio\disgust_233.wav,2.702721088435374,crema
neutral,male,normal,./data/augmented_audio\neutral_234.wav,2.43578231292517,crema
angry,male,normal,./data/augmented_audio\angry_235.wav,3.2032199546485263,crema
angry,male,normal,./data/augmented_audio\angry_236.wav,2.3023129251700682,crema
neutral,female,normal,./data/augmented_audio\neutral_237.wav,2.1021315192743764,crema
disgust,female,normal,./data/augmented_audio\disgust_238.wav,2.936281179138322,crema
fear,female,normal,./data/augmented_audio\fear_239.wav,1.7212698412698413,tess
fear,female,normal,./data/augmented_audio\fear_240.wav,2.4691609977324265,crema
disgust,male,normal,./data/augmented_audio\disgust_241.wav,3.83718820861678,ravdess
neutral,female,normal,./data/augmented_audio\neutral_242.wav,1.7684807256235828,crema
surprised,female,normal,./data/augmented_audio\surprised_243.wav,1.8310657596371882,tess
happy,female,normal,./data/augmented_audio\happy_244.wav,3.3033106575963718,ravdess
surprised,female,normal,./data/augmented_audio\surprised_245.wav,1.9424489795918367,tess
neutral,female,normal,./data/augmented_audio\neutral_246.wav,2.1354648526077096,crema
sad,female,normal,./data/augmented_audio\sad_247.wav,2.408707482993197,tess
angry,female,normal,./data/augmented_audio\angry_248.wav,3.0030385487528344,crema
disgust,male,normal,./data/augmented_audio\disgust_249.wav,2.902902494331066,crema
disgust,female,high,./data/augmented_audio\disgust_250.wav,2.3356916099773244,crema
neutral,male,normal,./data/augmented_audio\neutral_251.wav,2.43578231292517,crema
angry,male,high,./data/augmented_audio\angry_252.wav,2.5359183673469388,crema
neutral,male,normal,./data/augmented_audio\neutral_253.wav,2.4024036281179137,crema
happy,male,normal,./data/augmented_audio\happy_254.wav,1.8351927437641724,crema
fear,male,normal,./data/augmented_audio\fear_255.wav,2.2022222222222223,crema
happy,male,normal,./data/augmented_audio\happy_256.wav,2.8695238095238094,crema
happy,male,normal,./data/augmented_audio\happy_257.wav,4.517052154195011,savee
angry,male,high,./data/augmented_audio\angry_258.wav,2.035419501133787,crema
fear,male,low,./data/augmented_audio\fear_259.wav,2.282721088435374,crema
sad,male,normal,./data/augmented_audio\sad_260.wav,2.1354648526077096,crema
fear,female,normal,./data/augmented_audio\fear_261.wav,2.73609977324263,crema
disgust,female,normal,./data/augmented_audio\disgust_262.wav,3.1698412698412697,crema
fear,female,normal,./data/augmented_audio\fear_263.wav,1.7170975056689342,tess
neutral,female,normal,./data/augmented_audio\neutral_264.wav,2.191519274376417,tess
angry,male,low,./data/augmented_audio\angry_265.wav,2.3023129251700682,crema
happy,male,normal,./data/augmented_audio\happy_266.wav,2.635963718820862,crema
neutral,male,normal,./data/augmented_audio\neutral_267.wav,1.8551020408163266,savee
disgust,female,normal,./data/augmented_audio\disgust_268.wav,2.5384580498866214,tess
disgust,female,high,./data/augmented_audio\disgust_269.wav,3.570294784580499,crema
disgust,female,normal,./data/augmented_audio\disgust_270.wav,3.7704761904761903,crema
happy,female,normal,./data/augmented_audio\happy_271.wav,2.1937414965986393,tess
disgust,female,normal,./data/augmented_audio\disgust_272.wav,2.235827664399093,tess
sad,male,normal,./data/augmented_audio\sad_273.wav,3.53687074829932,ravdess
sad,male,normal,./data/augmented_audio\sad_274.wav,2.4024036281179137,crema
disgust,female,high,./data/augmented_audio\disgust_275.wav,3.1364625850340135,crema
neutral,female,normal,./data/augmented_audio\neutral_276.wav,2.936281179138322,crema
happy,male,high,./data/augmented_audio\happy_277.wav,3.937278911564626,ravdess
disgust,male,normal,./data/augmented_audio\disgust_278.wav,3.301904761904762,savee
fear,female,normal,./data/augmented_audio\fear_279.wav,1.5375510204081633,tess
disgust,male,low,./data/augmented_audio\disgust_280.wav,2.0020408163265304,crema
happy,male,normal,./data/augmented_audio\happy_281.wav,1.9352834467120181,crema
fear,male,normal,./data/augmented_audio\fear_282.wav,2.802857142857143,crema
happy,male,normal,./data/augmented_audio\happy_283.wav,2.2022222222222223,crema
sad,male,high,./data/augmented_audio\sad_284.wav,3.2032199546485263,ravdess
sad,female,normal,./data/augmented_audio\sad_285.wav,2.397233560090703,tess
fear,male,low,./data/augmented_audio\fear_286.wav,3.0030385487528344,crema
angry,male,normal,./data/augmented_audio\angry_287.wav,2.5359183673469388,crema
angry,female,normal,./data/augmented_audio\angry_288.wav,1.5092517006802721,tess
sad,male,normal,./data/augmented_audio\sad_289.wav,2.3690249433106576,crema
sad,male,normal,./data/augmented_audio\sad_290.wav,3.2032199546485263,crema
surprised,female,normal,./data/augmented_audio\surprised_291.wav,2.123764172335601,tess
neutral,female,normal,./data/augmented_audio\neutral_292.wav,1.4681632653061225,crema
fear,female,normal,./data/augmented_audio\fear_293.wav,2.769478458049887,crema
sad,female,normal,./data/augmented_audio\sad_294.wav,1.9352834467120181,crema
sad,female,normal,./data/augmented_audio\sad_295.wav,2.1021315192743764,crema
disgust,female,normal,./data/augmented_audio\disgust_296.wav,4.070793650793651,crema
fear,male,high,./data/augmented_audio\fear_297.wav,4.3710657596371885,ravdess
happy,male,normal,./data/augmented_audio\happy_298.wav,2.9696598639455782,crema
happy,female,high,./data/augmented_audio\happy_299.wav,3.83718820861678,ravdess
happy,female,normal,./data/augmented_audio\happy_300.wav,2.282721088435374,crema
neutral,male,normal,./data/augmented_audio\neutral_301.wav,2.520997732426304,savee
angry,female,normal,./data/augmented_audio\angry_302.wav,2.43578231292517,crema
disgust,male,normal,./data/augmented_audio\disgust_303.wav,4.404399092970522,crema
angry,male,normal,./data/augmented_audio\angry_304.wav,2.2689795918367346,crema
angry,male,normal,./data/augmented_audio\angry_305.wav,2.9696598639455782,crema
angry,female,normal,./data/augmented_audio\angry_306.wav,2.2155555555555555,tess
disgust,male,normal,./data/augmented_audio\disgust_307.wav,4.304353741496598,crema
angry,female,normal,./data/augmented_audio\angry_308.wav,2.836190476190476,crema
disgust,female,normal,./data/augmented_audio\disgust_309.wav,2.4273015873015873,tess
neutral,male,normal,./data/augmented_audio\neutral_310.wav,2.569251700680272,crema
fear,male,normal,./data/augmented_audio\fear_311.wav,2.1354648526077096,crema
fear,male,normal,./data/augmented_audio\fear_312.wav,2.1021315192743764,crema
neutral,male,normal,./data/augmented_audio\neutral_313.wav,2.4024036281179137,crema
fear,male,normal,./data/augmented_audio\fear_314.wav,2.702721088435374,crema
sad,female,normal,./data/augmented_audio\sad_315.wav,2.2235827664399093,tess
sad,male,high,./data/augmented_audio\sad_316.wav,3.83718820861678,ravdess
angry,female,normal,./data/augmented_audio\angry_317.wav,1.901904761904762,crema
happy,female,normal,./data/augmented_audio\happy_318.wav,1.9985487528344672,tess
happy,female,normal,./data/augmented_audio\happy_319.wav,2.5025396825396826,crema
neutral,female,high,./data/augmented_audio\neutral_320.wav,3.970657596371882,ravdess
angry,female,normal,./data/augmented_audio\angry_321.wav,1.568344671201814,tess
disgust,male,normal,./data/augmented_audio\disgust_322.wav,4.004036281179138,crema
surprised,male,normal,./data/augmented_audio\surprised_323.wav,3.4034013605442177,ravdess
neutral,male,normal,./data/augmented_audio\neutral_324.wav,2.635963718820862,crema
disgust,female,normal,./data/augmented_audio\disgust_325.wav,2.3391836734693876,tess
angry,female,normal,./data/augmented_audio\angry_326.wav,1.534875283446712,crema
disgust,female,normal,./data/augmented_audio\disgust_327.wav,2.448843537414966,tess
neutral,female,normal,./data/augmented_audio\neutral_328.wav,2.0487074829931973,tess
disgust,female,normal,./data/augmented_audio\disgust_329.wav,2.2053968253968255,tess
fear,female,normal,./data/augmented_audio\fear_330.wav,2.769478458049887,crema
disgust,male,normal,./data/augmented_audio\disgust_331.wav,2.902902494331066,crema
surprised,male,normal,./data/augmented_audio\surprised_332.wav,3.2365986394557824,ravdess
neutral,male,normal,./data/augmented_audio\neutral_333.wav,2.3356916099773244,crema
sad,female,normal,./data/augmented_audio\sad_334.wav,2.282721088435374,crema
sad,female,normal,./data/augmented_audio\sad_335.wav,1.9686621315192743,crema
fear,female,normal,./data/augmented_audio\fear_336.wav,1.901904761904762,crema
disgust,female,normal,./data/augmented_audio\disgust_337.wav,2.669342403628118,crema
neutral,female,normal,./data/augmented_audio\neutral_338.wav,2.153832199546485,tess
fear,male,high,./data/augmented_audio\fear_339.wav,3.670340136054422,ravdess
fear,male,normal,./data/augmented_audio\fear_340.wav,2.06875283446712,crema
happy,female,normal,./data/augmented_audio\happy_341.wav,2.192698412698413,tess
neutral,female,normal,./data/augmented_audio\neutral_342.wav,2.836190476190476,crema
disgust,female,normal,./data/augmented_audio\disgust_343.wav,2.6550113378684808,tess
disgust,male,high,./data/augmented_audio\disgust_344.wav,4.270975056689342,ravdess
neutral,male,normal,./data/augmented_audio\neutral_345.wav,2.2689795918367346,crema
neutral,female,normal,./data/augmented_audio\neutral_346.wav,2.1699773242630385,tess
disgust,male,normal,./data/augmented_audio\disgust_347.wav,1.8351927437641724,crema
happy,female,high,./data/augmented_audio\happy_348.wav,4.304308390022676,ravdess
fear,male,low,./data/augmented_audio\fear_349.wav,2.4024036281179137,crema
happy,female,normal,./data/augmented_audio\happy_350.wav,1.8143764172335601,tess
neutral,male,normal,./data/augmented_audio\neutral_351.wav,3.0030385487528344,crema
angry,male,normal,./data/augmented_audio\angry_352.wav,2.0755102040816324,savee
sad,male,high,./data/augmented_audio\sad_353.wav,2.4691609977324265,crema
happy,male,normal,./data/augmented_audio\happy_354.wav,3.6051700680272107,savee
sad,female,normal,./data/augmented_audio\sad_355.wav,2.3937414965986394,tess
angry,female,high,./data/augmented_audio\angry_356.wav,4.004036281179138,ravdess
sad,female,normal,./data/augmented_audio\sad_357.wav,2.320544217687075,tess
disgust,male,normal,./data/augmented_audio\disgust_358.wav,3.0364172335600905,crema
angry,female,high,./data/augmented_audio\angry_359.wav,2.5025396825396826,crema
neutral,female,normal,./data/augmented_audio\neutral_360.wav,3.47015873015873,ravdess
sad,male,normal,./data/augmented_audio\sad_361.wav,3.5035374149659866,crema
angry,male,normal,./data/augmented_audio\angry_362.wav,1.9352834467120181,crema
